Drug_A,Drug_B,Level
Phentolamine,Epoprostenol,Moderate
Prednisolone,Dimethyl fumarate,Moderate
Promethazine,Mitoxantrone,Unknown
Nabumetone,Iopromide,Major
Lisdexamfetamine,Microcrystalline cellulose,No Interaction
Nitroprusside,Nitrous acid,Major
Chromic chloride,Rolapitant,No Interaction
Lanthanum carbonate,Sarecycline,Moderate
Sevelamer,Loperamide,Unknown
Meningococcal polysaccharide vaccine group C,Telithromycin,No Interaction
Ipratropium,Promethazine,Moderate
Botulinum toxin type A,Mycophenolic acid,No Interaction
Flavoxate,Nevirapine,No Interaction
Ezetimibe,Thallous Chloride,No Interaction
Cefotaxime,Phenolphthalein,No Interaction
Gadoversetamide,Prednisone,Unknown
Budesonide (nasal),Ephedrine,No Interaction
Danaparoid,Ipratropium (nasal),No Interaction
Fluphenazine,Tolbutamide,Moderate
Promethazine,Dexmethylphenidate,Moderate
Foscarnet,Sodium cellulose phosphate,Moderate
Benznidazole,Ethambutol,No Interaction
Lumateperone,Rivastigmine,No Interaction
Alfentanil,Amyl Nitrite,Moderate
Aurothioglucose,Polymyxin B,No Interaction
Alprazolam,Cobicistat,Moderate
Clonazepam,Flumazenil,Moderate
Trichlormethiazide,Promethazine,Moderate
Mefenamic acid,Scopolamine (ophthalmic),No Interaction
Tositumomab,Vortioxetine,Moderate
Capreomycin,Iohexol,Major
Methylphenobarbital,Phenindamine,No Interaction
Corticotropin,Methadone,No Interaction
Etoposide,Trihexyphenidyl,No Interaction
Azathioprine,Vitamin D,No Interaction
Prednisolone,Magnesium citrate,Moderate
Acetohexamide,Doxycycline,No Interaction
Folic acid,Primidone,Moderate
Salsalate,Deferasirox,Major
Prednisolone,Treprostinil,No Interaction
Sirolimus,Ioversol,Major
Diatrizoate,Tacrolimus,Major
Butabarbital,Promethazine,Moderate
Siltuximab,Tropicamide,No Interaction
Promethazine,Alogliptin,Moderate
Lamotrigine,Levoleucovorin,Moderate
Hydroxyzine,Promethazine,Moderate
Choline salicylate,Dexmedetomidine,No Interaction
Clobetasol,Flibanserin,No Interaction
Trovafloxacin,Tetraferric tricitrate decahydrate,Moderate
Levothyroxine,Mannitol,Unknown
Polythiazide,Iopromide,Moderate
Eplerenone,Promethazine,Moderate
Isatuximab,Mecamylamine,No Interaction
Iloperidone,Vitamin D,No Interaction
Atropine,Ergotamine,No Interaction
Ginseng,Hydrocodone,No Interaction
Mephenytoin,Tolvaptan,No Interaction
Bisoprolol,Gadobutrol,Moderate
Methenamine,Prednisolone,No Interaction
Lesinurad,Rimantadine,No Interaction
Cangrelor,Omacetaxine mepesuccinate,No Interaction
Mestranol,Pregabalin,No Interaction
Anakinra,Deferiprone,Major
Ethanol,Empagliflozin,Moderate
Hydrocortisone,Tolevamer,Moderate
Prednisolone,Fostamatinib,Moderate
Hydromorphone,Ursodeoxycholic acid,No Interaction
Docetaxel,Procyclidine,No Interaction
Gemcitabine,Deferiprone,Major
Midazolam,Selenium Sulfide,No Interaction
Losartan,Amifostine,Moderate
Crizotinib,Cobicistat,Major
Timolol,Nitrous acid,Moderate
Bisoprolol,Iopodic acid,Moderate
Potassium chloride,Testosterone (topical),No Interaction
Bisoprolol,Methacholine,Major
Naldemedine,Progesterone,No Interaction
Methadone,Thiethylperazine,No Interaction
Dexmedetomidine,Sunitinib,No Interaction
Dalfopristin,Ketoconazole,No Interaction
Quinestrol,Trimipramine,No Interaction
Cemiplimab,Vortioxetine,No Interaction
Palifermin,Idarubicin,Moderate
Indomethacin,Iopamidol,Major
Gadofosveset trisodium,Ifosfamide,No Interaction
Vitamin A,Zoledronic acid,Unknown
Insulin glargine,Prednisolone,Moderate
Iohexol,Tapentadol,Major
Dichloralphenazone,Felbamate,No Interaction
Diltiazem,Sevelamer,Unknown
Levetiracetam,Sonidegib,No Interaction
Clobetasol (topical),Tubocurarine,No Interaction
Selenium Sulfide,Tacrolimus,No Interaction
Heparin,Naloxone,Unknown
Meloxicam,Tolbutamide,Moderate
Abciximab,Carfilzomib,No Interaction
Atenolol,Sevelamer,Unknown
Etomidate,Acetylcysteine,Unknown
Niacin,Acetylcysteine,Unknown
Desipramine,Trovafloxacin,No Interaction
Deferasirox,Defibrotide,Major
Tretinoin,Prednisolone,Unknown
Iodine,Iodide I-123,Moderate
Ioxilan,Oxymetholone,No Interaction
Tiludronic acid,Lanthanum carbonate,Moderate
Flutamide,Guanabenz,No Interaction
Labetalol,Tyropanoic acid,Moderate
Codeine,Phentolamine,Moderate
Physostigmine (ophthalmic),Pimozide,Moderate
Apremilast,Lomitapide,No Interaction
Procainamide,Iohexol,Moderate
Folic acid,Sirolimus,Unknown
Isometheptene,Nafcillin,No Interaction
Amiodarone,Iothalamic acid,Moderate
Iopromide,Tyropanoic acid,Moderate
Melphalan,Strontium chloride Sr-89,Moderate
Tositumomab,Tazemetostat,Major
Etodolac,Iron Dextran,No Interaction
Caspofungin,Prednisolone,Unknown
Aminocaproic acid,Esmolol,No Interaction
Ethosuximide,Tisagenlecleucel,No Interaction
Coccidioides immitis spherule,Dicoumarol,No Interaction
Diclofenac,Iodipamide,Major
Lenalidomide,Deferoxamine,Unknown
Alendronic acid,Promethazine,Unknown
Telmisartan,Potassium Iodide,Major
Flurandrenolide (topical),Oxandrolone,No Interaction
Folic acid,Etodolac,Unknown
Azelastine,Demecarium (ophthalmic),No Interaction
Econazole,Triamcinolone (ophthalmic),No Interaction
Ibritumomab tiuxetan,Caplacizumab,Major
Choline salicylate,Everolimus,No Interaction
Cephalexin,Piroxicam,No Interaction
Dexamethasone (ophthalmic),Midazolam,No Interaction
Ifosfamide,Lenvatinib,No Interaction
Minocycline,Iopamidol,Unknown
Ziprasidone,Ioflupane I-123,Moderate
Metaraminol,Methylcellulose,No Interaction
Temazepam,Leucovorin,Unknown
Amphotericin B (lipid complex),Iohexol,Major
Darifenacin,Promethazine,Moderate
Phenoxybenzamine,Iobenguane (I-123),Moderate
Polythiazide,Nitrous acid,Moderate
Radium Ra 223 dichloride,Vincristine (liposome),No Interaction
Midazolam,Midodrine,No Interaction
Polythiazide,Iothalamic acid,Moderate
Promethazine,Cilostazol,Moderate
Magnesium carbonate,Neratinib,Moderate
Acebutolol,Iodixanol,Moderate
Nimodipine,Gadoteric acid,Moderate
Vinorelbine,Cobicistat,Major
Folic acid,Ritonavir,Unknown
Dopamine,Tuberculin purified protein derivative,No Interaction
Naltrexone,Sevelamer,No Interaction
Hexaminolevulinate,Testosterone,No Interaction
Diclofenac (ophthalmic),Hydrocortisone (ophthalmic),No Interaction
Aminoglutethimide,Tolbutamide,Minor
Paroxetine,Mannitol,Moderate
Desirudin,Lanthanum carbonate,No Interaction
Folic acid,Paroxetine,Unknown
Atenolol,Methacholine,Major
Ibritumomab tiuxetan,Nepafenac (ophthalmic),Moderate
Sevelamer,Atorvastatin,Unknown
Gemtuzumab ozogamicin,Mirtazapine,No Interaction
Warfarin,Iodixanol,Unknown
Modafinil,Montelukast,No Interaction
Hydroxyzine,Macimorelin,Major
Corticotropin,Gadodiamide,No Interaction
Tositumomab,Ketorolac (ophthalmic),Moderate
Entacapone,Ethanol,Moderate
Trifluoperazine,Physostigmine (ophthalmic),Moderate
Carteolol,Iohexol,Moderate
Prednisolone,Isavuconazonium,Moderate
Alclometasone (topical),Zopiclone,No Interaction
Nelarabine,Rosiglitazone,No Interaction
Elvitegravir,Streptokinase,No Interaction
Calcium acetate,Metoprolol,Moderate
Sermorelin,Insulin human (regular),Moderate
Ethanol,Calaspargase pegol,Moderate
Allopurinol,Temozolomide,No Interaction
Phenelzine,Promethazine,Moderate
Atenolol,Gadofosveset trisodium,Moderate
Granisetron,Ioxilan,No Interaction
Demeclocycline,Modafinil,No Interaction
Folic acid,Hydrocortisone,Unknown
Diatrizoate,Piroxicam,Major
Clobetasol (topical),Digoxin,No Interaction
Methdilazine,Tolbutamide,Moderate
Bosentan,Tolbutamide,Moderate
Moexipril,Potassium Iodide,Major
Poliovirus type 1 antigen (formaldehyde inactivated),Salmeterol,No Interaction
Mupirocin,Topiramate,No Interaction
Cisplatin,Iopamidol,Major
Magaldrate,Mivacurium,No Interaction
Fesoterodine,Mivacurium,No Interaction
Sunitinib,Cobicistat,Moderate
Enfuvirtide,Prilocaine,No Interaction
Felodipine,Iopanoic acid,Moderate
Amikacin,Mannitol,Major
Tositumomab,Suprofen (ophthalmic),Moderate
Strontium chloride Sr-89,Sarilumab,Moderate
Tolbutamide,Lithium carbonate,Moderate
Amphotericin B,Prednisolone,Moderate
Amifostine,Metoclopramide,Unknown
Aminoglutethimide,Disulfiram,No Interaction
Ardeparin,Galantamine,No Interaction
Mesoridazine,Ioflupane I-123,Moderate
Bempedoic acid,Varicella Zoster Vaccine (Recombinant),No Interaction
Dicyclomine,Dronedarone,No Interaction
Gadopentetic acid,Penbutolol,Moderate
Mirtazapine,Histamine,Moderate
Brinzolamide,Oxandrolone,No Interaction
Brimonidine,Glycopyrronium,No Interaction
Amifampridine,Tasimelteon,No Interaction
Diatrizoate,Amphotericin B (liposomal),Major
Albendazole,Nicotinamide,No Interaction
Thiopental,Promethazine,Minor
Atezolizumab,Tetracosactide,No Interaction
Amphetamine,Promethazine,Moderate
Cocaine (topical),Methylene blue,Major
Isoetharine,Phentermine,No Interaction
Nitroglycerin,Iopamidol,Unknown
Metoclopramide,Miglitol,No Interaction
Atovaquone,Meperidine,No Interaction
Propranolol,Riluzole,No Interaction
Dolutegravir,Potassium chloride,No Interaction
Daunorubicin (liposomal),Deferiprone,Major
Halofantrine,Iodide I-131,Moderate
Esmolol,Gadobutrol,Moderate
Caffeine,Bendamustine,Moderate
Folic acid,Felodipine,Unknown
Etodolac,Iothalamic acid,Major
Escitalopram,Methylene blue,Major
Bortezomib,Sargramostim,No Interaction
Oxymetazoline (nasal),Methylene blue,Moderate
Ethiodized oil,Terbinafine,No Interaction
Labetalol,Gadobutrol,Moderate
Gadoversetamide,Valaciclovir,No Interaction
Sibutramine,Sitagliptin,No Interaction
Perphenazine,Cobicistat,Moderate
Alprostadil,Mipomersen,No Interaction
Bethanechol,Ceritinib,No Interaction
Bacitracin,Ioversol,Major
Betaxolol (ophthalmic),Diethylpropion,No Interaction
Betrixaban,Tyropanoic acid,No Interaction
Etacrynic acid,Ioxilan,Moderate
Alpelisib,Proguanil,No Interaction
Levobunolol (ophthalmic),Lurasidone,No Interaction
Carbamoylcholine (ophthalmic),Human cytomegalovirus immune globulin,No Interaction
Donepezil,Physostigmine,Moderate
Denosumab,Nitrofurantoin,No Interaction
Olsalazine,Somapacitan,No Interaction
Iohexol,Iopanoic acid,Moderate
Emtricitabine,Teniposide,No Interaction
Irbesartan,Acetylcysteine,Unknown
Brompheniramine,Iodide I-131,Moderate
Iodixanol,Olsalazine,Major
Fesoterodine,Cobicistat,Major
Oxybutynin,Deferasirox,Moderate
Thioridazine,Iobenguane (I-123),Moderate
Cenobamate,Methimazole,No Interaction
Sevelamer,Acenocoumarol,Unknown
Methyldopa,Polyethylene glycol (3350 with electrolytes),No Interaction
Estramustine,Famciclovir,No Interaction
Oxytetracycline,Rimegepant,No Interaction
Raloxifene,Streptozocin,No Interaction
Ertapenem,Macimorelin,No Interaction
Dicoumarol,Riluzole,No Interaction
Venlafaxine,Leucovorin,Unknown
Gemcitabine,Granisetron,No Interaction
Vinorelbine,Deferasirox,Moderate
Clobetasol (topical),Timolol (ophthalmic),No Interaction
Belatacept,Gatifloxacin,No Interaction
Theophylline,Prednisolone,Moderate
Caffeine,Melatonin,Minor
Nadolol,Nitrous acid,Moderate
Midazolam,Iodide I-131,Moderate
Disopyramide,Midodrine,No Interaction
Isradipine,Iopanoic acid,Moderate
Folic acid,Flurazepam,Unknown
Ipratropium (nasal),Promethazine,Minor
Fenoprofen,Iothalamic acid,Major
Tolbutamide,Tromethamine,Minor
Triamterene,Ioversol,Moderate
Naloxone,Posaconazole,Unknown
Folic acid,Tamsulosin,Unknown
Ganirelix,Pexidartinib,No Interaction
Ethanol,Cefamandole,Moderate
Busulfan,Deferiprone,Major
Benznidazole,Suprofen (ophthalmic),No Interaction
Fluorometholone (ophthalmic),Testosterone,No Interaction
Clopidogrel,Iodixanol,Unknown
Clofarabine,Diiodohydroxyquinoline,No Interaction
Amifampridine,Budesonide,No Interaction
Indapamide,Iodipamide,Moderate
Etodolac,Ethanol,Moderate
Clobazam,Kanamycin,No Interaction
Abciximab,Azathioprine,No Interaction
Milnacipran,Iobenguane (I-123),Moderate
Flutamide,Vilanterol,No Interaction
Lorcaserin,Pemetrexed,No Interaction
Balsalazide,Deferasirox,Major
Loratadine,Histamine,Moderate
Meropenem,Teprotumumab,No Interaction
Leucovorin,Ibandronate,Unknown
Ropinirole,Iopromide,Unknown
Ceftazidime,Iodipamide,No Interaction
Ozanimod,Palbociclib,No Interaction
Dexamethasone (ophthalmic),Kava,No Interaction
Benazepril,Prednisolone,Moderate
Dapagliflozin,Ethchlorvynol,No Interaction
Phentolamine,Oxazepam,Moderate
Ethotoin,Gadobutrol,No Interaction
Caffeine,Clonazepam,Unknown
Acetylcholine,Cytarabine,No Interaction
Atropine,Capromab pendetide,No Interaction
Pralatrexate,Vandetanib,No Interaction
Vitamin A,Selpercatinib,Moderate
Norfloxacin,Iopamidol,Major
Carmustine,Eslicarbazepine,No Interaction
Ampicillin,Indinavir,No Interaction
Edrophonium,Lasmiditan,Moderate
Cephalexin,Doxorubicin,No Interaction
Atenolol,Iothalamic acid,Moderate
Promethazine,Romidepsin,Moderate
Avanafil,Microcrystalline cellulose,No Interaction
Ferrous fumarate,Pyrazinamide,No Interaction
Ascorbic acid,Guanadrel,No Interaction
Acrivastine,Human cytomegalovirus immune globulin,No Interaction
Doxapram,Iobenguane (I-123),Moderate
Iodixanol,Salsalate,Major
Varicella Zoster Vaccine (Recombinant),Yellow Fever Vaccine,No Interaction
Anakinra,Methionine,No Interaction
Eptifibatide,Fulvestrant,No Interaction
Fludarabine,Insulin lispro (protamine),No Interaction
Capreomycin,Ioversol,Major
Encorafenib,Zaleplon,No Interaction
Pentamidine,Ioxilan,Major
Chloramphenicol,Safinamide,No Interaction
Alefacept,Diethylpropion,No Interaction
Leucovorin,Aprepitant,Unknown
Liothyronine,Sevelamer,Moderate
Iodide I-131,Macimorelin,Moderate
Prednisolone,Acetylcysteine,Unknown
Iohexol,Telavancin,Major
Cerivastatin,Ethanol,Moderate
Levoleucovorin,Terbutaline,No Interaction
Estrone,Roflumilast,No Interaction
Levobunolol (ophthalmic),Iohexol,Moderate
Caffeine,Theophylline,Moderate
Ropinirole,Deferasirox,Moderate
Ofatumumab,Strontium chloride Sr-89,Moderate
Tramadol,Iobenguane (I-131),Major
Clobetasol (topical),Simvastatin,No Interaction
Iohexol,Peginterferon beta-1a,Major
Triamcinolone (ophthalmic),Edrophonium,Moderate
Tositumomab (I-131),Ardeparin,Major
Halofantrine,Lomustine,No Interaction
Calcium carbonate,Ulobetasol (topical),No Interaction
Conjugated estrogens,Gemcitabine,No Interaction
Insulin human (zinc extended),Rosuvastatin,No Interaction
Gadoversetamide,Acebutolol,Moderate
Cinoxacin,Iohexol,Major
Turmeric,Yohimbine,No Interaction
Deferasirox,Magaldrate,Moderate
Fenoldopam,Iron,No Interaction
Alfentanil,Ciclesonide (nasal),No Interaction
Ciprofloxacin,Tolbutamide,Major
Ziprasidone,Ethanol,Moderate
Denosumab,Midostaurin,No Interaction
Oxycodone,Iopamidol,Major
Halothane,Macimorelin,Major
Atorvastatin,Deferasirox,Moderate
Ketorolac,Iohexol,Major
Amrinone,Carfilzomib,No Interaction
Clopidogrel,Levamisole,No Interaction
Amobarbital,Amyl Nitrite,Moderate
Cladribine,Rizatriptan,No Interaction
Sermorelin,Acarbose,Moderate
Rilonacept,Ulobetasol (topical),No Interaction
Methylprednisolone,Flumazenil,Unknown
Guanfacine,Vitamin E,No Interaction
Levonordefrin,Ofatumumab,No Interaction
Alendronic acid,Oritavancin,No Interaction
Deferasirox,Valganciclovir,Moderate
Sotalol,Gadoversetamide,Moderate
Activated charcoal,Iopromide,No Interaction
Rabeprazole,Acetylcysteine,Unknown
Betaxolol (ophthalmic),Gadobutrol,Moderate
Copper gluconate,Ixazomib,No Interaction
Methoxyflurane,Pegvisomant,No Interaction
Ioflupane I-123,Tacrolimus,No Interaction
Iodixanol,Iohexol,Unknown
Doravirine,Netupitant,No Interaction
Halazepam,Flumazenil,Moderate
Amantadine,Cinacalcet,No Interaction
Physostigmine (ophthalmic),Mepenzolate,Moderate
Troglitazone,Macimorelin,Moderate
Atropine (ophthalmic),Quinestrol,No Interaction
Calcium acetate,Bictegravir,Major
Epoprostenol,Glipizide,No Interaction
Netupitant,Sulindac,No Interaction
Risperidone,Amyl Nitrite,Moderate
Flutamide,Macimorelin,Major
Gemfibrozil,Stanozolol,No Interaction
Tolbutamide,Sunitinib,Moderate
Clofazimine,Macimorelin,Major
Labetalol,Sevelamer,Unknown
Tolbutamide,Alpelisib,Moderate
Doxapram,Nafcillin,No Interaction
Chlorthalidone,Prednisolone,Moderate
Mannitol,Pirbuterol,Moderate
Tolbutamide,Insulin degludec,Moderate
Azithromycin,Galactose,Unknown
Cyclosporine,Leucovorin,Unknown
Phenylephrine (ophthalmic),Methylene blue,Moderate
Isradipine,Nicotinamide,No Interaction
Fentanyl,Flumazenil,Unknown
Adalimumab,Calcifediol,No Interaction
Ramipril,Iopromide,Unknown
Cefdinir,Pipecuronium,No Interaction
Oritavancin,Trandolapril,No Interaction
Methyltestosterone,Nalidixic acid,No Interaction
Abametapir (topical),Ertapenem,No Interaction
Fostamatinib,Levonorgestrel,No Interaction
Chloramphenicol (ophthalmic),Iobenguane (I-131),Moderate
Lorlatinib,Nabilone,No Interaction
Ibritumomab tiuxetan,Pfizer-BioNTech Covid-19 Vaccine,Moderate
Anisindione,Tripelennamine,No Interaction
Naproxen,Iopamidol,Major
Cefazolin,Iopamidol,Unknown
Folic acid,Diflunisal,Unknown
Famciclovir,Insulin human (zinc extended),No Interaction
Etoposide,Acetylcysteine,Unknown
Ibritumomab tiuxetan,Pentosan polysulfate,Moderate
Piperacillin,Naloxone,Unknown
Zafirlukast,Prednisolone,Unknown
Acetylsalicylic acid,Tolbutamide,Moderate
Salbutamol,Amifostine,Unknown
Chlorthalidone,Iodixanol,Moderate
Deferasirox,Cabazitaxel,Moderate
Naproxen,Iohexol,Major
Pravastatin,Tetryzoline (nasal),No Interaction
Amyl Nitrite,Selexipag,Moderate
Magnesium sulfate,Pfizer-BioNTech Covid-19 Vaccine,No Interaction
Amcinonide,Capromab pendetide,No Interaction
Clemastine,Kaolin,No Interaction
Gadopentetic acid,Nadolol,Moderate
Insulin aspart (aspart),Pyrazinamide,No Interaction
Aflibercept,Chromium picolinate,No Interaction
Cetirizine,Methoxsalen,No Interaction
Methylprednisolone (topical),Nizatidine,No Interaction
Foscarnet,Terfenadine,No Interaction
Imipramine,Iopamidol,Major
Baloxavir marboxil,Mifepristone,No Interaction
Tositumomab (I-131),Human adenovirus e serotype 4 strain cl-68578 antigen,Moderate
Capsicum,Carbinoxamine,No Interaction
Beclomethasone dipropionate,Doxylamine,No Interaction
Cangrelor,Caspofungin,No Interaction
Emtricitabine,Lepirudin,No Interaction
Carisoprodol,Dimercaprol,No Interaction
Cefpodoxime,Givosiran,No Interaction
Iopamidol,Plazomicin,Major
Dexbrompheniramine,Umeclidinium,No Interaction
Ifosfamide,Iohexol,Major
Mannitol,Phenolphthalein,Moderate
Fenofibric acid,Peginterferon alfa-2b,No Interaction
Lisinopril,Phenylephrine (topical),No Interaction
Hydroxychloroquine,Mexiletine,No Interaction
Warfarin,Promethazine,Unknown
Prednisolone,Conivaptan,Moderate
Amphotericin B (lipid complex),Prednisolone,Moderate
Folic acid,Ampicillin,Unknown
Alteplase,Streptozocin,No Interaction
Dexbrompheniramine,Iodide I-123,Moderate
Inulin,Lefamulin,No Interaction
Tositumomab,Rilonacept,Moderate
Metronidazole,Iodide I-123,Moderate
Deferasirox,Betrixaban,Major
Scopolamine,Physostigmine (ophthalmic),Moderate
Deferasirox,Caplacizumab,Major
Gallium nitrate,Pioglitazone,No Interaction
Demeclocycline,Ketoconazole,No Interaction
Clotrimazole,Prednisolone,Unknown
Folic acid,Ethambutol,Unknown
Oxitriptan,Phenelzine,No Interaction
Tamsulosin,Tolterodine,No Interaction
Nystatin,Oxymetholone,No Interaction
Gadodiamide,Cyclophosphamide,Unknown
Xylometazoline (nasal),Iobenguane (I-131),Major
Tolbutamide,Chromium picolinate,Moderate
Benzocaine (topical),Rotigotine,No Interaction
Tretinoin,Deferasirox,Moderate
Sibutramine,Tolvaptan,No Interaction
Insulin human (zinc),Promethazine,Moderate
Ferrous gluconate,Polyethylene glycol (3350),No Interaction
Butabarbital,Prednisolone,Moderate
Gemifloxacin,Macimorelin,Major
Tolbutamide,Vilanterol,Moderate
Meprobamate,Amyl Nitrite,Moderate
Everolimus,Iobenguane (I-131),Major
Insulin detemir,Temozolomide,No Interaction
Amikacin,Acetylcysteine,Unknown
Tolbutamide,Clarithromycin,Moderate
Leucovorin,Fluvastatin,Unknown
Etomidate,Ethanol,Moderate
Iodipamide,Remdesivir,Moderate
Amifostine,Isosorbide,Moderate
Sevelamer,Rosuvastatin,Unknown
Mesoridazine,Pentostatin,No Interaction
Deferiprone,Tofacitinib,Major
Iodide I-123,Picosulfuric acid,No Interaction
Citalopram,Ethanol,Moderate
Fluvoxamine,Methylnaltrexone,No Interaction
Diflorasone (topical),Enalapril,No Interaction
Indomethacin,Iodipamide,Major
Estazolam,Polythiazide,No Interaction
Etacrynic acid,Iohexol,Moderate
